Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,68,23,0,74.72527473,25.27472527,0,0.611327762,0.050622155,0.173161844,44.71674729,73.11221837,176.4103874,109.5337358,66.87665159,1.938575686,1.203667427,0.734908259,94.69345746,1.040587445,53.67793748,0.783783784,29,0.222222222,12,0.777777778,42,0.216216216,8,0.707317073,0.783783784,0.743589744,0.55439357,0.88038038,0.764979702,0.747252747,0.11111071,0.88888929,0.252747253,NaN,0.747252747,NaN,NaN,0.910763226,0.753079797,NaN,0.747252747,0,0,0,0,0,0,139592,115620,36486,93.40659341,20.05494505,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,68,23,0,74.72527473,25.27472527,0,0.607095926,0.050401883,0.181836567,44.47876969,76.68993826,179.2785711,130.4466821,48.83188902,1.970094188,1.433480023,0.536614165,89.56154718,0.984192826,49.95663823,0.810810811,30,0.259259259,14,0.740740741,40,0.189189189,7,0.681818182,0.810810811,0.740740741,0.542136422,0.862862863,0.765238405,0.747252747,0.118366058,0.881633942,0.252747253,NaN,0.747252747,NaN,NaN,0.887370097,0.729811419,NaN,0.747252747,0,0,0,0,0,0,139592,115620,36486,89.01098901,17.3992674,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,63,28,0,69.23076923,30.76923077,0,0.537568058,0.060296021,0.197933001,53.20809723,83.4750015,180.8635336,162.7728894,18.09064417,1.987511358,1.788713071,0.198798288,76.57102188,0.841439801,42.33635181,0.675675676,25,0.259259259,14,0.740740741,40,0.324324324,12,0.641025641,0.675675676,0.657894737,0.413324938,0.791291291,0.646210167,0.692307692,0.116216737,0.883783263,0.307692308,NaN,0.692307692,NaN,NaN,0.848473695,0.684901785,NaN,0.692307692,0.001,0,0,0,0,0,139592,115620,36486,83.51648352,23.26007326,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,66,25,0,72.52747253,27.47252747,0,0.595914742,0.055114317,0.182269298,48.41276517,76.47167575,182.7199817,123.3458534,59.37412834,2.007911887,1.355448938,0.652462949,86.45316719,0.950034804,47.31456647,0.756756757,28,0.166666667,9,0.833333333,45,0.243243243,9,0.756756757,0.756756757,0.756756757,0.59009009,0.892392392,0.8304083,0.725274725,0.080941607,0.919058393,0.274725275,NaN,0.725274725,NaN,NaN,0.899959193,0.75848302,NaN,0.725274725,0,0,0,0,0,0,139592,115620,36486,93.40659341,20.97069597,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,63,28,0,69.23076923,30.76923077,0,0.531445384,0.055286242,0.194294964,48.56378537,81.51708288,182.7199817,150.9826497,31.73733195,2.007911887,1.659149997,0.34876189,85.63770397,0.94107367,46.86827526,0.756756757,28,0.296296296,16,0.703703704,38,0.243243243,9,0.636363636,0.756756757,0.691358025,0.45260028,0.839339339,0.748966907,0.692307692,0.130764108,0.869235892,0.307692308,NaN,0.692307692,NaN,NaN,0.87178215,0.723554768,NaN,0.692307692,0,0,0,0,0,0,139592,115620,36486,87.91208791,18.40659341,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,67,24,0,73.62637363,26.37362637,0,0.607969844,0.052514276,0.177398567,46.12797749,74.42653863,183.7199817,121.4224359,62.2975458,2.018900898,1.334312482,0.684588415,96.28753715,1.058104804,52.40994271,0.810810811,30,0.166666667,9,0.833333333,45,0.189189189,7,0.769230769,0.810810811,0.789473684,0.639362013,0.886886887,0.827682641,0.736263736,0.079557333,0.920442667,0.263736264,NaN,0.736263736,NaN,NaN,0.901838652,0.757860051,NaN,0.736263736,0,0.001,0,0,0,0,139592,115620,36486,89.01098901,22.06959707,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,68,23,0,74.72527473,25.27472527,0,0.613195343,0.050672897,0.180504025,44.51052987,75.72941545,183.7199817,133.51162,50.20836166,2.018900898,1.46716066,0.551740238,92.6763211,1.018421111,50.44433395,0.810810811,30,0.259259259,14,0.740740741,40,0.189189189,7,0.681818182,0.810810811,0.740740741,0.542136422,0.857857858,0.753961973,0.747252747,0.113097897,0.886902103,0.252747253,NaN,0.747252747,NaN,NaN,0.885830858,0.742918608,NaN,0.747252747,0,0,0,0,0,0,139592,115620,36486,90.10989011,18.4981685,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,62,29,0,68.13186813,31.86813187,0,0.530927835,0.060847702,0.196337141,53.44796945,82.37210733,183.7199817,149.0770877,34.64289404,2.018900898,1.638209754,0.380691143,80.97822537,0.889870608,44.07698315,0.621621622,23,0.240740741,13,0.759259259,41,0.378378378,14,0.638888889,0.621621622,0.630136986,0.382608241,0.808808809,0.627827516,0.681318681,0.117200832,0.882799168,0.318681319,NaN,0.681318681,NaN,NaN,0.864896004,0.67910586,NaN,0.681318681,0,0.001,0,0,0,0,139592,115620,36486,89.01098901,22.61904762,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,62,28,0,68.88888889,31.11111111,0,0.534626039,0.055788663,0.190738398,49.22916724,80.43718521,174.1812845,135.3366892,38.84459535,1.935347606,1.503740991,0.431606615,82.27035687,0.914115076,47.23260429,0.702702703,26,0.245283019,13,0.754716981,40,0.297297297,11,0.666666667,0.702702703,0.684210526,0.454188626,0.842427333,0.716469741,0.688888889,0.114037589,0.885962411,0.311111111,NaN,0.688888889,NaN,NaN,0.874902801,0.721608141,NaN,0.688888889,0,0,0,0,0,0,139592,115729,36377,91.11111111,20.18518519,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,3,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,70,20,0,77.77777778,22.22222222,0,0.663551402,0.046268108,0.167515853,40.84007711,70.66766752,174.9846665,111.9903599,62.99430656,1.944274072,1.244337332,0.69993674,98.77297783,1.097477531,56.44664749,0.783783784,29,0.20754717,11,0.79245283,42,0.216216216,8,0.725,0.783783784,0.753246753,0.570590647,0.880673126,0.742844681,0.777777778,0.09393311,0.90606689,0.222222222,NaN,0.777777778,NaN,NaN,0.904973701,0.754947543,NaN,0.777777778,0,0,0,0,0,0,139592,115729,36377,92.22222222,18.42592593,?,?,?,?
